title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelid,final_1688_link,price judge,上传日期,itemid,最大价格,同款要求,空置，该列请勿删除，否则会导致数据错乱,l4
9月化妆品热销品牌品- ESSENCE 持久眼线笔 01 黑色狂热 1支装,ESSENCE Long-lasting Eye Pencil 01 Black Fever 1's,1.90 ,https://cf.shopee.com.my/file/sg-11134201-7rfh1-m46n2dn2c7rm23,http://shopee.com.my/product/21516516/298769710,Makeup,眼部彩妆,IVCN2026082410466,'21317338133,https://detail.1688.com/offer/985604483658.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'298769710,1.90 ,100%同款（LFF）,,眼线
9月化妆品热销品牌品- SILKYGIRL 亮眼防水睫毛膏 1支,SILKYGIRL Eye Opener Waterproof Mascara 1pc,2.21 ,https://cf.shopee.com.my/file/sg-11134201-7rffb-m46m7w0skl0f88,http://shopee.com.my/product/21516516/298890504,Makeup,眼部彩妆,IVCN2026082410468,'70352129025,https://detail.1688.com/offer/943041460255.html?spm=a26352.b28411319.offerlist.191.250b1e62JsWI75,1688三档价,2026/8/24,'298890504,2.21 ,100%同款（LFF）,,睫毛膏
9月化妆品热销品牌品- SILKYGIRL 持久唇线笔 01 裸色,SILKYGIRL Long-Wearing Lip Liner 01 Nude,2.10 ,https://cf.shopee.com.my/file/sg-11134201-7reql-m2z49kd8ih2zea,http://shopee.com.my/product/21516516/298914064,Makeup,唇部彩妆,IVCN2026082410470,'70352098187,https://detail.1688.com/offer/894874315553.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23down-my.img.susercontent.com&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'298914064,2.10 ,100%同款（LFF）,,唇线笔
9月化妆品热销常规品- 迪赛[The Saem] 完美遮瑕膏 - SAEM,brightener,6.65 ,https://cf.shopee.vn/file/vn-11134207-7r98o-lxpo1jhhl1wb33,http://shopee.vn/product/15046460/383695945,Makeup,面部彩妆,IVCN2026082410472,'127982645861,https://detail.1688.com/offer/968529429316.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'383695945,6.65 ,100%同款,,遮瑕
9月化妆品热销常规品- Bioaqua 易上妆即时完美眉粉眉笔,Light Brow #02,8.39 ,https://cf.shopee.com.my/file/d025b23b96b4594a864a648dfae3bb58,http://shopee.com.my/product/1200290/590954749,Makeup,眼部彩妆,IVCN2026082410474,'442362810,https://detail.1688.com/offer/998029606901.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i16&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'590954749,8.39 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销常规品- Fashion21 精致眼线液,Black,5.26 ,https://cf.shopee.ph/file/46c5b390b871bb99c9c6e0da787d4e09,http://shopee.ph/product/26222223/826165462,Makeup,眼部彩妆,IVCN2026082410476,'710356414,https://detail.1688.com/offer/678239059033.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'826165462,5.26 ,相似款（LFF）,,眼线
9月化妆品热销品牌品- 碧柔 (BIORE) 保湿卸妆水 400毫升,BIORE Micellar Cleansing Water Moist Up 400ml,9.05 ,https://cf.shopee.com.my/file/sg-11134201-8259i-mracy8o9pa0w12,http://shopee.com.my/product/21516516/841769721,Makeup,卸妆用品,IVCN2026082410478,'40352987635,https://detail.1688.com/offer/1052329538991.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i40&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'841769721,9.05 ,100%同款（LFF）,,卸妆用品
9月化妆品热销常规品- 肌研 超级玻尿酸保湿卸妆油 200毫升,HADA LABO SUPER HYALURONIC ACID HYDRATING CLEANSING OIL MAKE-UP REMOVER 200ML,7.90 ,https://cf.shopee.com.my/file/my-11134201-7rask-m8g12txvtl7273,http://shopee.com.my/product/23935614/939477347,Makeup,卸妆用品,IVCN2026082410480,'31055728985,https://detail.1688.com/offer/737713875105.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'939477347,7.90 ,100%同款（LFF）,,卸妆用品
9月化妆品热销常规品- Skinaz V10 光泽 BB 棒 韩国粉底液,Kem nền Hàn Quốc V10 Glow B.B Stick Skinaz,20.00 ,https://cf.shopee.vn/file/cb1cda96eb03a1ce7aa223b48674b8f6,http://shopee.vn/product/59066766/956698531,Makeup,面部彩妆,IVCN2026082410482,'22914440018,,爆品竞价,2026/8/24,'956698531,20.00 ,相似款,,粉底
9月化妆品热销品牌品- 【买一送一】SACE LADY 眉膏凝胶带刷二合一眉膏眉笔持久防水眉妆印章,#02 Dark Brown,8.16 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mal7eu05zuex39,http://shopee.ph/product/54469408/988174786,Makeup,眼部彩妆,IVCN2026082410484,'845842522,https://detail.1688.com/offer/680502592941.html?spm=a26352.b28411319.offerlist.1.62711e624RaNGr&cosite=-&tracelog=p4p&_p_isad=1&clickid=2e2c7bafc8a048dcbebb0b2501ec643c&sessionid=0b573e1441069e83f6e792bd16b6e9b7,1688三档价,2026/8/24,'988174786,20.00 ,100%同款（LFF）,,眉笔、眉粉
